Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1487
Scope 1/1, Sample 1/3 (20190419_JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-63.1,17.9,NaN,,
0.0010,1,-63.3,18.0,0.0010,,
0.0025,2,-63.4,17.9,0.0015,,
0.0050,3,-63.4,17.9,0.0025,,
0.0090,4,-63.2,17.9,0.0035,,
0.0150,5,-62.9,18.0,0.0055,,
0.0235,6,-62.2,17.9,0.0075,,
0.0320,7,-61.3,17.9,0.0075,,
0.0405,8,-60.1,18.0,0.0075,,
0.0480,9,-58.9,18.0,0.0070,,
0.0565,10,-57.3,18.0,0.0075,,
0.0650,11,-55.8,18.0,0.0075,,
0.0735,12,-54.1,18.0,0.0075,,
0.0820,13,-52.2,18.0,0.0075,,
0.0900,14,-50.2,18.0,0.0075,,
0.0975,15,-48.3,18.0,0.0070,,
0.1060,16,-46.0,18.0,0.0075,,
0.1145,17,-43.5,18.0,0.0075,,
0.1230,18,-40.9,18.0,0.0075,,
0.1315,19,-37.8,18.0,0.0075,,
0.1400,20,-34.6,18.0,0.0075,,
0.1475,21,-31.6,18.0,0.0070,,
0.1560,22,-28.1,18.0,0.0075,,
0.1645,23,-24.8,18.0,0.0075,,
0.1725,24,-21.3,18.0,0.0075,,
0.1810,25,-18.2,18.0,0.0075,,
0.1895,26,-15.4,18.0,0.0075,,
0.1970,27,-13.3,18.0,0.0070,,
0.2055,28,-11.3,18.0,0.0075,,
0.2140,29,-9.4,18.0,0.0075,,
0.2225,30,-7.7,18.0,0.0075,,
0.2310,31,-6.0,18.0,0.0075,,
0.2390,32,-4.6,18.0,0.0075,,
0.2470,33,-3.3,18.0,0.0075,,
0.2550,34,-1.7,18.0,0.0075,,
0.2635,35,-0.1,18.0,0.0075,,
0.2720,36,0.3,18.0,0.0075,,
0.2805,37,1.2,18.0,0.0075,,
0.2890,38,2.3,18.0,0.0075,,
0.2965,39,3.2,18.0,0.0070,,
0.3050,40,4.2,18.0,0.0075,,
0.3135,41,5.1,18.0,0.0075,,
0.3215,42,6.0,18.0,0.0075,,
0.3300,43,6.9,18.0,0.0075,,
0.3385,44,7.9,18.0,0.0075,,
0.3460,45,8.8,18.0,0.0070,,
0.3545,46,9.7,18.0,0.0075,,
0.3630,47,10.6,18.0,0.0075,,
0.3715,48,11.4,18.0,0.0075,,
0.3800,49,12.3,18.0,0.0075,,
0.3880,50,13.1,18.0,0.0075,,
0.3960,51,13.9,18.0,0.0075,,
0.4040,52,14.7,18.0,0.0075,,
0.4125,53,15.6,18.0,0.0075,,
0.4210,54,16.5,18.0,0.0075,,
0.4295,55,17.3,18.0,0.0075,,
0.4380,56,18.0,18.0,0.0085,,
0.4455,57,18.7,18.0,0.0070,,
0.4540,58,19.5,18.0,0.0075,,
0.4625,59,20.3,18.0,0.0075,,
0.4710,60,20.9,18.0,0.0075,,
0.4790,61,21.6,18.0,0.0075,,
0.4870,62,22.2,18.0,0.0075,,
0.4950,63,23.2,18.0,0.0075,,
0.5035,64,24.0,18.0,0.0075,,
0.5120,65,25.1,18.0,0.0075,,
0.5205,66,25.8,18.0,0.0075,,
0.5290,67,26.4,18.0,0.0075,,
0.5365,68,27.2,18.0,0.0070,,
0.5450,69,27.9,18.0,0.0075,,
0.5535,70,28.5,18.0,0.0075,,
