Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1488
Scope 1/1, Sample 1/8 (H1_T1-A)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-23.0,17.7,NaN,,
0.0010,1,-23.4,17.7,0.0010,,
0.0025,2,-23.5,17.7,0.0015,,
0.0050,3,-23.5,17.7,0.0025,,
0.0085,4,-23.3,17.7,0.0030,,
0.0150,5,-22.8,17.7,0.0060,,
0.0230,6,-21.5,17.7,0.0075,,
0.0315,7,-19.3,17.7,0.0075,,
0.0390,8,-17.0,17.7,0.0075,,
0.0475,9,-14.1,17.7,0.0085,,
0.0560,10,-11.1,17.7,0.0075,,
0.0645,11,-8.3,17.7,0.0075,,
0.0730,12,-5.5,17.7,0.0075,,
0.0810,13,-2.9,17.7,0.0075,,
0.0890,14,-0.4,17.7,0.0080,,
0.0970,15,0.7,17.7,0.0080,,
0.1055,16,2.5,17.7,0.0075,,
0.1140,17,4.0,17.7,0.0075,,
0.1225,18,5.3,17.7,0.0075,,
0.1310,19,6.3,17.7,0.0075,,
0.1385,20,7.2,17.7,0.0075,,
0.1470,21,8.4,17.7,0.0075,,
0.1555,22,9.3,17.7,0.0075,,
0.1640,23,10.5,17.7,0.0075,,
0.1720,24,11.6,17.7,0.0075,,
0.1800,25,12.4,17.7,0.0080,,
0.1880,26,13.3,17.7,0.0080,,
0.1965,27,14.3,17.7,0.0075,,
0.2050,28,15.2,17.7,0.0075,,
0.2135,29,16.0,17.7,0.0075,,
0.2220,30,17.1,17.7,0.0075,,
0.2295,31,17.9,17.8,0.0075,,
0.2380,32,18.7,17.8,0.0085,,
0.2465,33,19.7,17.8,0.0075,,
0.2550,34,20.5,17.8,0.0075,,
0.2630,35,21.2,17.8,0.0075,,
0.2715,36,21.9,17.8,0.0075,,
0.2790,37,22.6,17.8,0.0075,,
0.2875,38,23.3,17.8,0.0085,,
0.2960,39,24.1,17.8,0.0075,,
0.3045,40,24.9,17.8,0.0075,,
0.3130,41,25.8,17.8,0.0075,,
0.3215,42,26.5,17.8,0.0085,,
0.3290,43,27.1,17.8,0.0075,,
0.3375,44,27.9,17.8,0.0075,,
0.3455,45,28.7,17.8,0.0075,,
0.3540,46,29.6,17.8,0.0075,,
0.3625,47,30.2,17.8,0.0075,,
