Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,6,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T1516,,,,,
Scope 1/1, Sample 1/9 (JUNK),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-56.2,18.5,NaN,,
0.001,1,-56.4,18.5,0.001,,
0.0025,2,-56.6,18.5,0.0015,,
0.005,3,-56.6,18.5,0.0025,,
0.0085,4,-56.5,18.5,0.003,,
0.0145,5,-56.3,18.5,0.0055,,
0.023,6,-55.7,18.5,0.0075,,
0.0315,7,-54.9,18.5,0.0085,,
0.039,8,-53.8,18.5,0.0075,,
0.0475,9,-52.5,18.5,0.0075,,
0.056,10,-50.9,18.5,0.0075,,
0.0645,11,-49.3,18.5,0.0075,,
0.0725,12,-47.6,18.5,0.0075,,
0.0805,13,-45.8,18.5,0.008,,
0.0885,14,-43.8,18.5,0.008,,
0.097,15,-41.6,18.5,0.0075,,
0.1055,16,-39.2,18.5,0.0075,,
0.114,17,-36.7,18.5,0.0075,,
0.1225,18,-33.9,18.5,0.0075,,
0.131,19,-31.3,18.5,0.0085,,
0.1385,20,-28.3,18.5,0.0075,,
0.147,21,-25.3,18.5,0.0075,,
0.155,22,-22,18.5,0.0075,,
0.1635,23,-19,18.5,0.0075,,
0.172,24,-16.3,18.5,0.0075,,
0.1795,25,-14.1,18.5,0.0075,,
0.188,26,-12,18.5,0.0085,,
0.1965,27,-10.2,18.5,0.0075,,
0.205,28,-8.5,18.5,0.0075,,
0.2135,29,-6.8,18.5,0.0075,,
0.222,30,-5.3,18.5,0.0075,,
0.2295,31,-3.9,18.5,0.0075,,
0.238,32,-2.3,18.5,0.0085,,
0.246,33,-0.5,18.5,0.0075,,
0.2545,34,0.1,18.5,0.0075,,
0.263,35,1.1,18.5,0.0075,,
0.2715,36,2.1,18.5,0.0075,,
0.279,37,3,18.5,0.0075,,
0.2875,38,4.1,18.5,0.0085,,
0.296,39,5,18.5,0.0075,,
0.3045,40,5.9,18.5,0.0075,,
0.313,41,6.8,18.5,0.0075,,
0.321,42,7.6,18.5,0.0075,,
0.3285,43,8.4,18.5,0.0075,,
0.337,44,9.2,18.5,0.0085,,
0.3455,45,10.3,18.5,0.0075,,
0.354,46,11.1,18.5,0.0075,,
0.3625,47,12,18.5,0.0075,,
0.371,48,12.9,18.5,0.0075,,
0.3785,49,13.7,18.5,0.0075,,
0.387,50,14.5,18.5,0.0085,,
0.3955,51,15.4,18.5,0.0075,,
0.4035,52,16.2,18.5,0.0075,,
0.412,53,16.9,18.5,0.0075,,
0.4205,54,17.7,18.5,0.0075,,
0.428,55,18.4,18.5,0.0075,,
0.4365,56,19.2,18.5,0.0085,,
0.445,57,20,18.5,0.0075,,
0.4535,58,20.7,18.5,0.0075,,
0.462,59,21.5,18.5,0.0075,,
0.47,60,22.3,18.5,0.0075,,
0.478,61,23,18.5,0.008,,
0.486,62,23.7,18.5,0.008,,
0.4945,63,24.6,18.5,0.0075,,
0.503,64,25.3,18.6,0.0075,,
0.5115,65,26.1,18.6,0.0075,,
0.52,66,26.8,18.6,0.0075,,
0.5275,67,27.5,18.6,0.0075,,
0.536,68,28.2,18.6,0.0085,,
0.5445,69,29,18.6,0.0075,,
0.5525,70,29.7,18.6,0.0075,,
0.561,71,30.5,18.6,0.0075,,
0.5695,72,31.2,18.6,0.0075,,
0.577,73,31.9,18.6,0.0075,,
0.5855,74,32.7,18.6,0.0085,,
0.594,75,33.5,18.6,0.0075,,
0.6025,76,34.2,18.6,0.0075,,
0.611,77,34.9,18.6,0.0075,,
0.619,78,35.6,18.6,0.0075,,
0.627,79,36.2,18.6,0.008,,
0.635,80,37,18.6,0.008,,
0.6435,81,37.8,18.6,0.0075,,
0.652,82,38.6,18.6,0.0075,,
0.6605,83,39.3,18.6,0.0075,,
0.669,84,39.9,18.6,0.0085,,
0.6765,85,40.8,18.6,0.0075,,
0.685,86,41.5,18.6,0.0085,,
0.6935,87,42.2,18.6,0.0075,,
0.702,88,43,18.6,0.0075,,
0.71,89,43.8,18.6,0.0075,,
0.7185,90,44.5,18.6,0.0085,,
0.726,91,45.3,18.6,0.0075,,
0.7345,92,46.1,18.6,0.0075,,
0.743,93,46.8,18.6,0.0075,,
0.7515,94,47.6,18.6,0.0075,,
0.76,95,48.4,18.6,0.0075,,
0.7685,96,49,18.6,0.0085,,
0.776,97,49.7,18.6,0.0075,,
0.7845,98,50.6,18.6,0.0075,,
0.7925,99,51.5,18.6,0.0075,,
0.801,100,52.2,18.6,0.0075,,
0.8095,101,53,18.6,0.0075,,
0.817,102,53.6,18.6,0.0075,,
0.8255,103,54.4,18.6,0.0085,,
0.834,104,55.2,18.6,0.0075,,
0.8425,105,56,18.6,0.0075,,
0.851,106,56.8,18.6,0.0075,,
0.859,107,57.6,18.6,0.0075,,
0.8675,108,58.4,18.6,0.0085,,
0.8755,109,59.3,18.6,0.008,,
0.8835,110,60.2,18.6,0.0075,,
0.892,111,61,18.6,0.0075,,
0.9005,112,61.7,18.6,0.0075,,
0.909,113,62.6,18.6,0.0075,,
0.9175,114,63.5,18.6,0.0075,,
0.925,115,64.2,18.6,0.0075,,
0.933,116,65.2,18.6,0.008,,
0.9415,117,66,18.6,0.0075,,
0.95,118,66.8,18.6,0.0075,,
0.9585,119,67.9,18.6,0.0075,,
0.967,120,68.8,18.6,0.0075,,
0.9745,121,69.6,18.6,0.0075,,
0.983,122,70.5,18.6,0.0085,,
0.9915,123,71.4,18.6,0.0075,,
1,124,72.2,18.6,0.0075,,
1.008,125,73.2,18.6,0.0075,,
1.0165,126,74.1,18.6,0.0075,,
1.024,127,75,18.6,0.0075,,
1.0325,128,76.1,18.6,0.0085,,
1.041,129,77.2,18.6,0.0075,,
1.0495,130,78.3,18.6,0.0075,,
1.058,131,79.5,18.6,0.0075,,
1.0665,132,80.6,18.6,0.0075,,
1.074,133,81.6,18.6,0.0075,,
1.0825,134,82.8,18.6,0.0085,,
1.0905,135,83.9,18.6,0.0075,,
1.099,136,85.2,18.6,0.0075,,
1.1075,137,86.4,18.6,0.0075,,
1.116,138,87.7,18.6,0.0075,,
1.1235,139,88.9,18.6,0.0075,,
1.132,140,90.4,18.6,0.0085,,
1.1405,141,92.1,18.6,0.0075,,
1.149,142,93.5,18.6,0.0075,,
1.157,143,95.1,18.6,0.0075,,
1.1655,144,96.8,18.7,0.0075,,
1.173,145,98.2,18.6,0.0075,,
1.1815,146,99.9,18.6,0.0085,,
1.19,147,101.8,18.7,0.0075,,
1.1985,148,103.7,18.7,0.0075,,
1.207,149,105.5,18.7,0.0075,,
1.2155,150,107.5,18.7,0.0075,,
1.223,151,109.6,18.7,0.0075,,
1.2315,152,112,18.7,0.0085,,
1.2395,153,114.5,18.7,0.0075,,
1.248,154,117.1,18.7,0.0075,,
1.2565,155,120,18.7,0.0075,,
1.265,156,122.9,18.7,0.0075,,
1.2725,157,125.5,18.7,0.0075,,
1.281,158,128.8,18.7,0.0085,,
1.2895,159,132.2,18.7,0.0075,,
1.298,160,135.7,18.7,0.0075,,
1.306,161,139.4,18.7,0.0075,,
1.3145,162,143.1,18.7,0.0075,,
1.322,163,146.3,18.7,0.0075,,
1.3305,164,149.8,18.7,0.0085,,
1.339,165,153.3,18.7,0.0075,,
1.3475,166,156.8,18.7,0.0075,,
1.356,167,160,18.7,0.0075,,
1.3645,168,163.2,18.7,0.0075,,
1.372,169,165.6,18.7,0.0075,,
1.3805,170,168.3,18.7,0.0085,,
1.389,171,170.7,18.7,0.0075,,
1.397,172,172.9,18.7,0.0075,,
1.4055,173,175,18.7,0.0075,,
1.414,174,177,18.7,0.0075,,
1.4215,175,178.6,18.7,0.0075,,
1.43,176,180.6,18.7,0.0085,,
1.4385,177,182.2,18.7,0.0075,,
1.447,178,183.8,18.7,0.0075,,
1.4555,179,185,18.7,0.0075,,
1.4555,419,188.4,18.9,0,,
1.456,420,188.4,18.9,0.0005,,
1.458,421,188.3,18.9,0.0015,,
1.46,422,188.4,18.9,0.0015,,
1.464,423,188.8,18.9,0.0035,,
1.47,424,189.2,18.9,0.005,,
1.4785,425,190.1,18.9,0.0065,,
1.487,426,191.1,18.9,0.0065,,
1.495,427,192.2,18.9,0.006,,
1.503,428,193.2,18.9,0.0065,,
1.511,429,194.2,18.9,0.0065,,
1.5195,430,195.3,18.9,0.007,,
1.528,431,196.2,18.9,0.0065,,
1.5365,432,197.2,18.9,0.0065,,
1.545,433,198.1,18.9,0.0065,,
1.5525,434,198.9,18.9,0.006,,
1.561,435,199.8,18.9,0.007,,
1.5695,436,200.5,18.9,0.007,,
1.578,437,201.3,18.9,0.0065,,
1.586,438,202,18.9,0.006,,
1.5945,439,202.8,18.9,0.0065,,
1.602,440,203.4,18.9,0.006,,
1.6105,441,204.2,18.9,0.007,,
1.619,442,204.9,18.9,0.007,,
1.6275,443,205.6,18.9,0.0065,,
1.636,444,206.2,18.9,0.0065,,
1.6445,445,206.8,18.9,0.0065,,
1.652,446,207.4,18.9,0.006,,
1.6605,447,208.1,18.9,0.007,,
1.6685,448,208.6,18.9,0.0065,,
1.677,449,209.2,18.9,0.0065,,
1.6855,450,209.8,18.9,0.0065,,
1.694,451,210.3,18.9,0.0065,,
1.7015,452,210.8,18.9,0.006,,
1.71,453,211.3,18.9,0.007,,
1.7185,454,211.8,18.9,0.007,,
1.727,455,212.3,18.9,0.0065,,
1.735,456,212.8,18.9,0.006,,
1.7435,457,213.3,18.9,0.0065,,
1.751,458,213.8,18.9,0.006,,
1.7595,459,214.2,18.9,0.007,,
1.768,460,214.7,18.9,0.007,,
1.7765,461,215.2,18.9,0.0065,,
1.785,462,215.6,18.9,0.0065,,
1.7935,463,216.1,18.9,0.0065,,
1.801,464,216.4,18.9,0.006,,
1.8095,465,216.9,18.9,0.007,,
1.8175,466,217.2,18.9,0.0065,,
1.826,467,217.7,18.9,0.0065,,
1.8345,468,218.2,18.9,0.0065,,
1.843,469,218.5,18.9,0.0065,,
1.8505,470,218.8,18.9,0.006,,
1.859,471,219.2,18.9,0.007,,
1.8675,472,219.6,18.9,0.0065,,
1.876,473,219.9,18.9,0.0065,,
1.8845,474,220.3,18.9,0.0065,,
1.8925,475,220.7,18.9,0.006,,
1.9005,476,221.1,18.9,0.0065,,
1.9085,477,221.3,18.9,0.0065,,
1.917,478,221.7,18.9,0.007,,
1.9255,479,222.1,18.9,0.0065,,
1.934,480,222.4,18.9,0.0065,,
1.9425,481,222.7,18.9,0.0065,,
1.95,482,223,18.9,0.006,,
1.9585,483,223.3,18.9,0.007,,
1.9665,484,223.7,18.9,0.0065,,
1.975,485,224,18.9,0.0065,,
1.9835,486,224.4,18.9,0.0065,,
1.992,487,224.6,18.9,0.0065,,
2.0005,488,224.9,18.9,0.007,,
2.008,489,225.2,18.9,0.006,,
2.0165,490,225.6,18.9,0.007,,
2.025,491,225.8,18.9,0.0065,,
2.033,492,226.2,18.9,0.006,,
2.0415,493,226.5,18.9,0.0065,,
2.049,494,226.7,18.9,0.006,,
2.0575,495,227,18.9,0.007,,
2.066,496,227.3,18.9,0.007,,
2.0745,497,227.5,18.9,0.0065,,
2.083,498,227.8,18.9,0.0065,,
2.0915,499,228.1,18.9,0.0065,,
2.099,500,228.3,18.9,0.006,,
2.1075,501,228.6,18.9,0.007,,
2.1155,502,228.9,18.9,0.0065,,
2.124,503,229.1,18.9,0.0065,,
2.1325,504,229.4,18.9,0.0065,,
2.141,505,229.7,18.9,0.0065,,
2.1485,506,229.8,18.9,0.006,,
2.157,507,230.1,18.9,0.007,,
2.1655,508,230.3,18.9,0.007,,
2.174,509,230.6,18.9,0.0065,,
2.1825,510,230.8,18.9,0.0065,,
2.1905,511,231.1,18.9,0.006,,
2.1985,512,231.2,18.9,0.0065,,
2.2065,513,231.5,18.9,0.0065,,
2.215,514,231.7,18.9,0.0065,,
2.2235,515,232,18.9,0.0065,,
2.232,516,232.2,18.9,0.0065,,
2.2405,517,232.4,18.9,0.0065,,
2.248,518,232.6,18.9,0.006,,
2.2565,519,232.8,18.9,0.007,,
2.265,520,233,18.9,0.007,,
2.273,521,233.3,18.9,0.006,,
2.2815,522,233.5,18.9,0.0065,,
2.29,523,233.8,18.9,0.0065,,
2.2975,524,234,18.9,0.006,,
2.306,525,234.2,18.9,0.007,,
2.3135,526,234.4,18.9,0.006,,
2.317,527,234.5,18.9,0.0025,,
2.3185,528,234.7,19,0.001,,
2.319,529,234.7,19,0.0005,,
2.3205,530,234.7,18.9,0.001,,
2.323,531,234.8,19,0.002,,
2.326,532,234.8,19,0.0025,,
2.3315,533,234.8,19,0.004,,
2.3385,534,235,19,0.005,,
Scope 1/1, Sample 2/9 (1A),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-19.5,11,NaN,,
