Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1535
Scope 1/1, Sample 1/9 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-58.3,24.1,NaN,,
0.0005,1,-58.6,24.1,0.0005,,
0.0025,2,-58.6,24.1,0.0020,,
0.0050,3,-58.7,24.1,0.0025,,
0.0090,4,-58.6,24.1,0.0035,,
0.0150,5,-58.3,24.1,0.0055,,
0.0235,6,-57.8,24.1,0.0075,,
0.0310,7,-56.9,24.1,0.0075,,
0.0395,8,-55.9,24.1,0.0085,,
0.0480,9,-54.7,24.1,0.0075,,
0.0565,10,-53.4,24.1,0.0075,,
0.0650,11,-52.0,24.1,0.0075,,
0.0725,12,-50.7,24.1,0.0075,,
0.0810,13,-49.2,24.1,0.0085,,
0.0895,14,-47.5,24.1,0.0085,,
0.0980,15,-45.6,24.1,0.0075,,
0.1060,16,-43.7,24.1,0.0075,,
0.1145,17,-41.6,24.1,0.0075,,
0.1225,18,-39.6,24.1,0.0080,,
0.1305,19,-37.2,24.1,0.0080,,
0.1390,20,-34.6,24.1,0.0075,,
0.1475,21,-32.0,24.1,0.0075,,
0.1560,22,-29.2,24.1,0.0075,,
0.1645,23,-26.6,24.1,0.0085,,
0.1720,24,-23.7,24.1,0.0075,,
0.1805,25,-21.1,24.1,0.0085,,
0.1890,26,-18.4,24.1,0.0075,,
0.1975,27,-15.9,24.1,0.0075,,
0.2055,28,-13.6,24.1,0.0075,,
0.2135,29,-11.8,24.1,0.0080,,
0.2220,30,-9.9,24.1,0.0085,,
0.2300,31,-8.3,24.1,0.0075,,
0.2385,32,-6.7,24.1,0.0075,,
0.2470,33,-5.4,24.1,0.0075,,
0.2555,34,-4.0,24.1,0.0075,,
0.2630,35,-2.6,24.1,0.0075,,
0.2715,36,-0.8,24.1,0.0085,,
0.2800,37,-0.1,24.1,0.0075,,
0.2885,38,0.9,24.1,0.0075,,
0.2970,39,2.0,24.1,0.0075,,
0.3045,40,3.0,24.1,0.0075,,
0.3130,41,4.0,24.1,0.0085,,
0.3210,42,5.0,24.1,0.0080,,
0.3295,43,6.0,24.1,0.0075,,
0.3380,44,6.9,24.1,0.0075,,
0.3465,45,7.9,24.1,0.0075,,
0.3540,46,8.8,24.1,0.0075,,
0.3625,47,9.8,24.1,0.0085,,
0.3710,48,10.9,24.1,0.0075,,
0.3795,49,11.8,24.1,0.0075,,
0.3880,50,12.8,24.1,0.0075,,
0.3965,51,13.6,24.1,0.0085,,
0.4040,52,14.6,24.1,0.0075,,
0.4125,53,15.5,24.1,0.0085,,
0.4205,54,16.4,24.1,0.0075,,
0.4290,55,17.3,24.1,0.0075,,
0.4375,56,18.1,24.1,0.0075,,
0.4450,57,18.9,24.1,0.0075,,
0.4535,58,19.7,24.1,0.0085,,
0.4620,59,20.6,24.1,0.0085,,
0.4705,60,21.4,24.1,0.0075,,
0.4790,61,22.3,24.1,0.0075,,
0.4875,62,23.1,24.1,0.0075,,
0.4950,63,23.9,24.1,0.0075,,
0.5035,64,24.7,24.1,0.0085,,
0.5120,65,25.6,24.1,0.0075,,
0.5200,66,26.4,24.1,0.0075,,
0.5285,67,27.2,24.1,0.0075,,
0.5370,68,28.0,24.1,0.0085,,
0.5445,69,28.8,24.1,0.0075,,
0.5530,70,29.7,24.1,0.0085,,
0.5615,71,30.5,24.1,0.0075,,
0.5700,72,31.3,24.1,0.0075,,
0.5785,73,32.1,24.1,0.0075,,
0.5860,74,32.8,24.1,0.0075,,
0.5945,75,33.7,24.1,0.0085,,
0.6030,76,34.5,24.1,0.0075,,
0.6115,77,35.3,24.1,0.0075,,
0.6195,78,36.1,24.1,0.0075,,
0.6280,79,36.8,24.1,0.0085,,
0.6355,80,37.6,24.1,0.0075,,
0.6440,81,38.5,24.1,0.0085,,
0.6525,82,39.3,24.1,0.0075,,
0.6610,83,40.1,24.1,0.0075,,
0.6695,84,40.9,24.1,0.0075,,
0.6770,85,41.6,24.1,0.0075,,
0.6855,86,42.5,24.1,0.0085,,
0.6940,87,43.3,24.1,0.0075,,
0.7025,88,44.0,24.1,0.0075,,
0.7110,89,44.8,24.1,0.0075,,
0.7190,90,45.6,24.1,0.0080,,
0.7265,91,46.4,24.1,0.0075,,
0.7350,92,47.1,24.1,0.0085,,
0.7435,93,48.0,24.1,0.0075,,
0.7520,94,48.8,24.1,0.0075,,
0.7605,95,49.6,24.1,0.0075,,
0.7680,96,50.3,24.1,0.0075,,
0.7765,97,51.1,24.1,0.0085,,
0.7850,98,51.9,24.1,0.0075,,
0.7935,99,52.8,24.1,0.0075,,
0.8020,100,53.6,24.1,0.0075,,
0.8100,101,54.3,24.1,0.0080,,
0.8180,102,55.1,24.1,0.0080,,
0.8265,103,55.9,24.1,0.0085,,
0.8345,104,56.7,24.1,0.0075,,
0.8430,105,57.5,24.1,0.0075,,
0.8515,106,58.4,24.1,0.0075,,
0.8590,107,59.1,24.1,0.0075,,
0.8675,108,60.0,24.1,0.0085,,
0.8760,109,60.8,24.1,0.0075,,
0.8845,110,61.7,24.1,0.0075,,
0.8930,111,62.5,24.1,0.0075,,
0.9015,112,63.3,24.1,0.0085,,
0.9090,113,64.3,24.1,0.0075,,
0.9175,114,65.1,24.1,0.0085,,
0.9260,115,66.0,24.1,0.0075,,
0.9340,116,66.8,24.1,0.0075,,
0.9425,117,67.7,24.2,0.0075,,
0.9510,118,68.5,24.1,0.0085,,
0.9585,119,69.4,24.1,0.0075,,
0.9670,120,70.4,24.1,0.0085,,
0.9755,121,71.3,24.2,0.0075,,
0.9840,122,72.3,24.2,0.0075,,
0.9925,123,73.2,24.2,0.0075,,
1.0005,124,74.0,24.2,0.0080,,
1.0085,125,75.0,24.2,0.0080,,
1.0165,126,76.1,24.2,0.0080,,
1.0250,127,77.1,24.2,0.0075,,
1.0335,128,78.2,24.2,0.0075,,
1.0420,129,79.3,24.2,0.0075,,
1.0495,130,80.2,24.2,0.0075,,
1.0580,131,81.3,24.2,0.0085,,
1.0665,132,82.4,24.2,0.0075,,
1.0750,133,83.6,24.2,0.0075,,
1.0835,134,84.7,24.2,0.0075,,
1.0910,135,85.9,24.2,0.0075,,
1.0995,136,87.1,24.2,0.0085,,
1.1080,137,88.4,24.2,0.0085,,
1.1160,138,89.7,24.2,0.0075,,
1.1245,139,91.0,24.2,0.0075,,
1.1330,140,92.3,24.2,0.0075,,
1.1405,141,93.7,24.2,0.0075,,
1.1490,142,95.3,24.2,0.0085,,
1.1575,143,96.9,24.2,0.0075,,
1.1660,144,98.4,24.2,0.0075,,
1.1745,145,100.1,24.2,0.0075,,
1.1830,146,101.6,24.2,0.0085,,
1.1905,147,103.4,24.2,0.0075,,
1.1990,148,105.4,24.2,0.0085,,
1.2075,149,107.5,24.2,0.0075,,
1.2160,150,109.6,24.2,0.0075,,
1.2240,151,111.7,24.2,0.0075,,
1.2320,152,114.0,24.2,0.0080,,
1.2400,153,116.5,24.2,0.0080,,
1.2485,154,119.3,24.2,0.0075,,
1.2570,155,122.3,24.2,0.0075,,
1.2655,156,125.1,24.2,0.0075,,
1.2740,157,128.1,24.2,0.0085,,
1.2815,158,131.6,24.2,0.0075,,
1.2900,159,135.1,24.2,0.0085,,
1.2985,160,138.7,24.2,0.0075,,
1.3070,161,142.2,24.2,0.0075,,
1.3155,162,146.1,24.2,0.0075,,
1.3230,163,149.2,24.2,0.0070,,
1.3315,164,152.9,24.2,0.0085,,
1.3395,165,156.7,24.2,0.0075,,
1.3480,166,160.1,24.2,0.0075,,
1.3565,167,163.2,24.2,0.0075,,
1.3650,168,165.9,24.2,0.0085,,
1.3725,169,168.7,24.2,0.0075,,
1.3810,170,171.2,24.2,0.0085,,
1.3895,171,173.7,24.2,0.0075,,
1.3980,172,175.8,24.2,0.0075,,
1.4065,173,177.8,24.2,0.0075,,
1.4140,174,179.5,24.2,0.0075,,
1.4225,175,181.6,24.2,0.0085,,
1.4310,176,183.4,24.2,0.0075,,
1.4410,177,185.1,24.2,0.0075,,
1.4410,417,187.7,24.3,0.0000,,
