Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1557
Scope 1/1, Sample 1/3 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-59.0,19.6,NaN,,
0.0010,1,-59.6,19.6,0.0010,,
0.0025,2,-59.7,19.6,0.0015,,
0.0050,3,-59.7,19.6,0.0025,,
0.0085,4,-59.6,19.6,0.0030,,
0.0150,5,-59.4,19.6,0.0060,,
0.0230,6,-58.9,19.6,0.0075,,
0.0305,7,-58.2,19.6,0.0075,,
0.0390,8,-57.2,19.6,0.0085,,
0.0475,9,-56.1,19.6,0.0075,,
0.0560,10,-55.0,19.6,0.0075,,
0.0645,11,-53.7,19.6,0.0075,,
0.0730,12,-52.2,19.6,0.0075,,
0.0805,13,-50.9,19.6,0.0075,,
0.0890,14,-49.3,19.6,0.0085,,
0.0970,15,-47.6,19.6,0.0075,,
0.1055,16,-45.7,19.6,0.0075,,
0.1140,17,-43.7,19.6,0.0075,,
0.1225,18,-42.0,19.6,0.0085,,
0.1300,19,-39.7,19.6,0.0075,,
0.1385,20,-37.2,19.6,0.0085,,
0.1470,21,-34.5,19.6,0.0075,,
0.1555,22,-31.9,19.6,0.0075,,
0.1640,23,-29.0,19.6,0.0075,,
0.1720,24,-26.4,19.6,0.0080,,
0.1800,25,-23.4,19.6,0.0080,,
0.1880,26,-20.5,19.6,0.0080,,
0.1965,27,-17.7,19.6,0.0075,,
0.2050,28,-15.0,19.6,0.0075,,
0.2135,29,-12.6,19.6,0.0075,,
0.2210,30,-10.9,19.6,0.0075,,
0.2295,31,-9.1,19.6,0.0085,,
0.2380,32,-7.3,19.6,0.0075,,
0.2465,33,-6.0,19.6,0.0075,,
0.2550,34,-4.5,19.6,0.0075,,
0.2630,35,-2.9,19.6,0.0075,,
0.2710,36,-1.2,19.6,0.0080,,
0.2790,37,0.0,19.6,0.0080,,
0.2875,38,0.8,19.6,0.0075,,
0.2960,39,1.8,19.6,0.0075,,
0.3045,40,2.7,19.6,0.0075,,
0.3130,41,3.9,19.6,0.0075,,
0.3205,42,4.7,19.6,0.0075,,
0.3290,43,5.8,19.6,0.0085,,
0.3375,44,6.7,19.6,0.0075,,
0.3455,45,7.6,19.6,0.0075,,
0.3540,46,8.8,19.6,0.0075,,
0.3625,47,9.6,19.6,0.0075,,
0.3700,48,10.9,19.6,0.0075,,
0.3785,49,11.7,19.6,0.0085,,
0.3870,50,12.6,19.6,0.0075,,
0.3955,51,13.6,19.6,0.0075,,
0.4040,52,14.5,19.6,0.0075,,
0.4125,53,15.2,19.6,0.0075,,
0.4200,54,15.9,19.6,0.0075,,
0.4285,55,16.9,19.6,0.0085,,
0.4365,56,17.8,19.6,0.0075,,
0.4450,57,18.6,19.6,0.0075,,
0.4535,58,19.4,19.6,0.0075,,
0.4620,59,20.2,19.6,0.0085,,
0.4695,60,21.0,19.6,0.0075,,
0.4780,61,21.6,19.6,0.0085,,
0.4865,62,22.3,19.6,0.0075,,
0.4950,63,23.0,19.6,0.0075,,
0.5030,64,24.0,19.6,0.0075,,
0.5115,65,24.8,19.6,0.0085,,
0.5195,66,25.4,19.6,0.0080,,
0.5275,67,26.2,19.6,0.0075,,
0.5360,68,27.1,19.6,0.0075,,
0.5445,69,28.0,19.7,0.0075,,
0.5530,70,28.9,19.6,0.0075,,
0.5615,71,29.7,19.7,0.0085,,
0.5690,72,30.4,19.7,0.0075,,
0.5775,73,31.1,19.7,0.0085,,
0.5855,74,32.1,19.7,0.0075,,
0.5940,75,32.9,19.7,0.0075,,
0.6025,76,33.6,19.7,0.0075,,
0.6110,77,34.3,19.7,0.0085,,
0.6185,78,35.1,19.7,0.0075,,
0.6270,79,35.8,19.7,0.0075,,
0.6355,80,36.4,19.7,0.0075,,
0.6440,81,37.2,19.7,0.0075,,
0.6525,82,38.1,19.7,0.0075,,
0.6605,83,38.8,19.7,0.0080,,
0.6685,84,39.7,19.7,0.0080,,
0.6765,85,40.4,19.7,0.0075,,
0.6850,86,41.2,19.7,0.0075,,
0.6935,87,41.9,19.7,0.0075,,
0.7020,88,42.6,19.7,0.0075,,
0.7105,89,43.2,19.7,0.0085,,
0.7180,90,44.0,19.7,0.0075,,
0.7265,91,44.8,19.7,0.0075,,
0.7350,92,45.5,19.7,0.0075,,
0.7430,93,46.0,19.7,0.0075,,
0.7515,94,47.0,19.7,0.0075,,
0.7600,95,47.6,19.7,0.0085,,
0.7675,96,48.4,19.7,0.0075,,
0.7760,97,49.2,19.7,0.0085,,
0.7845,98,49.9,19.7,0.0075,,
0.7930,99,50.7,19.7,0.0075,,
0.8015,100,51.5,19.7,0.0075,,
0.8090,101,52.4,19.7,0.0075,,
0.8175,102,53.1,19.7,0.0085,,
0.8255,103,54.0,19.7,0.0080,,
0.8340,104,54.8,19.7,0.0075,,
0.8425,105,55.7,19.7,0.0075,,
0.8510,106,56.2,19.7,0.0075,,
0.8585,107,56.8,19.7,0.0075,,
0.8670,108,57.8,19.7,0.0085,,
0.8755,109,58.6,19.7,0.0075,,
0.8840,110,59.5,19.7,0.0075,,
0.8925,111,60.2,19.7,0.0075,,
0.9005,112,61.1,19.7,0.0075,,
0.9085,113,61.8,19.7,0.0080,,
0.9165,114,62.7,19.7,0.0080,,
0.9250,115,63.5,19.7,0.0075,,
0.9335,116,64.3,19.7,0.0075,,
0.9420,117,65.3,19.7,0.0075,,
0.9505,118,66.1,19.7,0.0085,,
0.9580,119,67.2,19.7,0.0075,,
0.9665,120,67.9,19.7,0.0075,,
0.9750,121,68.7,19.7,0.0075,,
0.9835,122,69.5,19.7,0.0075,,
0.9915,123,70.3,19.7,0.0075,,
0.9995,124,71.2,19.7,0.0080,,
1.0075,125,72.1,19.7,0.0080,,
1.0160,126,73.1,19.7,0.0075,,
1.0245,127,74.3,19.7,0.0075,,
1.0330,128,75.0,19.7,0.0075,,
1.0415,129,75.6,19.7,0.0075,,
1.0490,130,76.5,19.7,0.0075,,
1.0575,131,77.6,19.7,0.0085,,
1.0660,132,78.6,19.7,0.0075,,
1.0745,133,79.7,19.7,0.0075,,
1.0825,134,80.7,19.7,0.0075,,
1.0910,135,81.9,19.7,0.0075,,
1.0985,136,82.8,19.7,0.0075,,
1.1070,137,84.1,19.7,0.0085,,
1.1155,138,85.7,19.7,0.0075,,
1.1240,139,86.7,19.7,0.0075,,
1.1325,140,87.8,19.7,0.0075,,
1.1410,141,88.7,19.7,0.0085,,
1.1485,142,90.1,19.7,0.0075,,
1.1570,143,91.1,19.7,0.0085,,
1.1650,144,92.8,19.7,0.0075,,
1.1735,145,94.4,19.7,0.0075,,
1.1820,146,96.1,19.7,0.0075,,
1.1905,147,97.5,19.7,0.0075,,
1.1980,148,98.8,19.7,0.0075,,
1.2065,149,100.5,19.7,0.0085,,
1.2150,150,102.2,19.7,0.0075,,
1.2235,151,103.7,19.7,0.0075,,
1.2315,152,106.3,19.7,0.0075,,
1.2400,153,108.0,19.7,0.0075,,
1.2475,154,110.1,19.7,0.0075,,
1.2560,155,112.2,19.7,0.0085,,
1.2645,156,114.7,19.7,0.0075,,
1.2730,157,117.2,19.7,0.0075,,
1.2815,158,119.3,19.7,0.0075,,
1.2900,159,122.2,19.7,0.0085,,
1.2975,160,125.0,19.7,0.0075,,
1.3060,161,128.6,19.7,0.0085,,
1.3145,162,131.7,19.7,0.0075,,
1.3225,163,134.9,19.7,0.0075,,
1.3310,164,138.3,19.7,0.0075,,
1.3395,165,141.1,19.7,0.0085,,
1.3470,166,144.8,19.7,0.0075,,
1.3555,167,148.4,19.7,0.0075,,
1.3640,168,152.4,19.7,0.0075,,
1.3725,169,155.9,19.7,0.0075,,
1.3810,170,159.2,19.7,0.0075,,
1.3885,171,161.6,19.7,0.0075,,
1.3970,172,164.6,19.7,0.0085,,
1.4055,173,167.3,19.7,0.0075,,
1.4135,174,169.8,19.7,0.0075,,
1.4220,175,172.5,19.7,0.0075,,
1.4305,176,174.5,19.7,0.0075,,
1.4380,177,176.6,19.7,0.0075,,
1.4465,178,178.7,19.7,0.0085,,
1.4550,179,180.6,19.7,0.0075,,
1.4635,180,182.3,19.7,0.0075,,
1.4720,181,184.0,19.7,0.0075,,
1.4795,182,185.1,19.7,0.0075,,
1.4795,422,188.3,19.9,0.0000,,
1.4800,423,188.3,19.9,0.0005,,
1.4815,424,188.3,19.9,0.0015,,
1.4840,425,188.5,19.9,0.0025,,
