Date,SDR_position,Run,Lpc,Leq,Lz,alpha,Tank.ID,Parental.history,Sw.Condition,Type,Length,Lid.ID,Wet.weight.g,SDR.vial.volume.ml,Notes,ID
09.05.19,B2,1,-0.530124483691781,-0.530124483691781,-0.209971480425197,0.4,3.7,NA,amb,blank,NA,C5,NA,4,NA,09.05.19.1.B2
09.05.19,B2,2,-0.377761391675482,-0.370469141323792,-0.370469141323792,0.4,2.6,NA,amb,blank,NA,B2,NA,4,NA,09.05.19.2.B2
09.05.19,B2,3,-0.469016085664417,-0.469016085664417,-0.615149763823284,0.4,2.6,NA,amb,blank,NA,B2,NA,4,NA,09.05.19.3.B2
09.05.19,B5,1,-0.0985364261407031,-0.0985364261407031,-0.129075091575095,0.4,2.7,NA,amb,blank,NA,C2,NA,4,NA,09.05.19.1.B5
09.05.19,B5,2,-0.617633052727974,-0.610019873532071,-0.609570429570428,0.4,3.6,NA,amb,blank,NA,B5,NA,4,NA,09.05.19.2.B5
09.05.19,B5,3,-0.407930633063305,-0.387082417582417,-0.575890036711341,0.4,3.6,NA,amb,blank,NA,B5,NA,4,NA,09.05.19.3.B5
09.05.19,C2,1,-0.502838956275139,-0.496191750906978,-0.611099744245529,0.4,3.6,NA,amb,blank,NA,B5,NA,4,NA,09.05.19.1.C2
09.05.19,C2,2,-0.330821215409662,-0.434024435394299,-0.434024435394299,0.4,2.7,NA,amb,blank,NA,C2,NA,4,NA,09.05.19.2.C2
09.05.19,C2,3,-0.415688930806828,-0.393253663003662,-0.393253663003662,0.4,2.7,NA,amb,blank,NA,C2,NA,4,NA,09.05.19.3.C2
09.05.19,C5,1,-0.0460942019212048,-0.050926703698687,-0.00676120458949902,0.4,2.6,NA,amb,blank,NA,B2,NA,4,NA,09.05.19.1.C5
09.05.19,C5,2,-0.381212190497969,-0.398746684894055,-0.398746684894055,0.4,3.7,NA,amb,blank,NA,C5,NA,4,NA,09.05.19.2.C5
09.05.19,C5,3,-0.384279525201649,-0.388230769230772,-0.388230769230772,0.4,3.7,NA,amb,blank,NA,C5,NA,4,NA,09.05.19.3.C5
09.06.19,A6,1,-0.148823631679604,-0.689025142514249,-0.689025142514249,0.4,2.6,NA,var.low,blank,NA,B2,NA,4,NA,09.06.19.1.A6
09.06.19,B1,1,-0.831845764854613,-0.842683284799072,-0.842683284799072,0.4,2.7,NA,var.low,blank,NA,C2,NA,4,NA,09.06.19.1.B1
09.06.19,B4,1,-0.906455064514677,-0.929590625378545,-0.929590625378545,0.4,3.6,NA,amb,blank,NA,B5,NA,4,NA,09.06.19.1.B4
09.06.19,D2,1,-1.00083640887414,-1.01366766762938,-1.0075690157251,0.4,3.7,NA,amb,blank,NA,C5,NA,4,NA,09.06.19.1.D2
09.19.19,A1,1,-0.85118443997317,-0.532088963667918,-0.821519344387273,0.4,2.7,NA,var.low,blank,NA,C2,NA,4,NA,09.19.19.1.A1
09.19.19,B5,1,-0.411672740907387,-0.411672740907387,-0.404535807050092,0.4,3.7,NA,amb,blank,NA,C5,NA,4,NA,09.19.19.1.B5
09.19.19,C4,1,-0.506636733586552,-0.464040920716116,-0.462498251748257,0.4,2.6,NA,var.low,blank,NA,B2,NA,4,NA,09.19.19.1.C4
09.19.19,D4,1,-0.424435707068491,-0.44441455959988,-0.44441455959988,0.4,3.6,NA,amb,blank,NA,B5,NA,4,NA,09.19.19.1.D4
